type,region,denomination,wine_name,menu_name,company,vine,year,reseller,price,sciolze_vinery,tastuma_vinery,service_temp,fridge_temp,fridge_type
Bollicine,Piemonte,Alta Langa DOCG ,Alta Langa DOCG ,Alta Langa Garesio,Garesio ssa,Pinot nero,2018,Garesio ssa,32,0,5,8-10°,8°,Bollicine 8°
Bollicine,Piemonte,Spumante Metodo Classico,Spumante Metodo Classico Patrone,Spumante Metodo Classico Patrone,Azienda Agricola Patrone Elena,Pinot nero,2018,Azienda Agricola Patrone Elena,25,0,6,8-10°,8°,Bollicine 8°
Bollicine,Piemonte,Metodo classico ,Parusso Metodo Classico,Parusso Metodo Classico,Parusso,Nebbiolo,2015,Cuzziol,45,3,6,8-10°,8°,Bollicine 8°
Bollicine,Piemonte,Metodo Classico,Arturo Bersano Metodo Classico,Arturo Bersano Metodo Classico,Bersano,Pinot Nero,2017,Bersano Vini,20,0,3,6-8°,8°,Bollicine 8°
Bollicine,Piemonte,Metodo Classico,Artur.0 Metodo Classico Pas Dosè,Artur.0 Metodo Classico Pas Dosè,Bersano,Pinot Nero,2012,Bersano Vini,28,0,10,6-8°,8°,Bollicine 8°
Bollicine,Piemonte,Metodo Classico,Mon Cavarè,Mon Cavarè Metodo Classico,Mandirola Vini,Timorasso,s.a.,Mandirola Vini,32,6,4,8-10°,8°,Bollicine 8°
Bollicine,Piemonte,Rosato Ancestrale,Rosso a metà,Rosso a metà,Ca' del Prete,"Freisa, Barbera e Malvasia di Schierano",2017,Vininversi,26,0,6,,,
Bollicine,Piemonte,Valsusa DOC,EOS,EOS La Chimera,La Chimera,Avana,s.a.,Proposta Vini,22,0,7,,,
Bollicine,Lombardia,Franciacorta DOCG,Franciacorta Brut,Franciacorta Brut,Ferghettina,85% Chardonnay 15% Pinot Nero,,Tastuma Tut,28,6,9,8-10°,8°,Bollicine 8°
Bollicine,Lombardia,Franciacorta DOCG,Franciacorta Extra Brut,Franciacorta Extra Brut,Ferghettina,80% Chardonnay 20% Pinot Nero,2013,Tastuma Tut,48,0,7,8-10°,8°,Bollicine 8°
Bollicine,Lombardia,Franciacorta DOCG,Franciacorta Satèn Brut,Franciacorta Satèn Brut,Ferghettina,Chardonnay,2017,Tastuma Tut,38,6,8,8-10°,8°,Bollicine 8°
Bollicine,Lombardia,Franciacorta DOCG,Franciacorta Extra Brut Blanc de Blanc,Franciacorta Extra Brut Blanc de Blanc,Sullali,Chardonnay,s.a.,Cuzziol,27,0,1,8-10°,8°,Bollicine 8°
Bollicine,Veneto,Rosato Ancestrale,Sollazzo,Sollazzo,Villa Calicantus,"Corvina, Rondinella, Molinara",2020,Vininversi,22,0,2,8-10°,8°,Bollicine 8°
Bollicine,Emilia Romagna ,Pignoletto DOCG,Sui Lieviti,Sui Lieviti,Orsi San Vito,"Pignoletto 97%, Albana e Riesling 3%",2019,Vininversi,22,0,5,8-10°,8°,Bollicine 8°
Bollicine,Emilia Romagna ,Lambrusco di Sorbara DOC,Lambrusco di Sorbara Leclisse ,Lambrusco di Sorbara Leclisse ,Paltrinieri,Lambrusco di Sorbara,2021,Proposta Vini ,18,3,6,10-14°,8°,Bollicine 8°
Bollicine,Campania,Spumante Metodo Classico,Nimà Nature Brut,Nimà Nature Brut,Caputo 1890,"Asprinio di Aversa, Pallagrello e Falanghina",s.a.,Caputo1890,24,0,6,10-14°,8°,Bollicine 8°
Bollicine,Campania,Spumante Metodo Classico,Caputo Brut,Caputo Brut,Caputo 1890,Asprinio di Aversa,2017,Caputo1890,35,0,4,10-14°,8°,Bollicine 8°
Bollicine,Sicilia,Etna DOC,La Gelsomina Brut,La Gelsomina Brut,Tenuta Orestiadi,Nerello Mascalese e Nerello Cappuccio,s.a.,Tenuta Orestiadi,31,0,2,12-14°,8°,Bollicine 8°
Bollicine,Sicilia,Etna DOC,La Gelsomina Rosè,La Gelsomina Rosè,Tenuta Orestiadi,Nerello Mascalese e Nerello Cappuccio,s.a.,Tenuta Orestiadi,31,0,4,12-14°,8°,Bollicine 8°
Bollicine,Sicilia,Terre Sciciliane IGT,Metodo Ancestrale Mood,Mood Metodo Ancestrale,Paolo Calì,Frappato,2018,Tastuma Tut,21,0,3,12-14°,8°,Bollicine 8°
Bollicine,Sardegna,Vino Spumante di Qualità,Q Brut,Q Brut,Quartomoro di Sardegna,Vermentino,s.a.,Proposta Vini,27,0,7,6-8°,8°,Bollicine 8°
Bollicine,Francia - Jura,Cremant du Jura AOC,Cremant du Jura,Cremant du Jura,Domaine Amelie Guillot,Chardonnay,,Pretzhof,32,0,1,8-10°,8°,Bollicine 8°
Bollicine,Francia - Champagne,Champagne AOC,La Jancelie,Champagne La Jancelie,Champagne Barrat Masson,Chardonnay,2017,Pretzhof,55,0,1,12°,8°,Bollicine 8°
Bollicine,Francia - Champagne,Champagne AOC,La Jancelie,Champagne La Jancelie,Champagne Barrat Masson,Chardonnay,2018,Pretzhof,55,0,3,12°,8°,Bollicine 8°
Bollicine,Francia - Champagne,Champagne AOC,Champagne Extra Brut Cuvee Tradition ,Champagne Extra Brut Cuvee Tradition ,Chardonnet & Fils,"70% Chardonnay, 30% Pinot Noir",s.a.,Darvin ,47,0,6,8-10°,8°,Bollicine 8°
Bollicine,Francia - Champagne,Champagne AOC,Champagne Nature Blanc de Meunier,Champagne Nature Blanc de Meunier,André Heucq,Pinot Meunier,s.a.,Darvin ,57,0,0,8-10°,8°,Bollicine 8°
Bianchi e Rosè,Piemonte,Vino Bianco Piemonte Cortese DOC,Piemonte Cortese,Piemonte Cortese,Albino Rocca,Cortese,2017,Tastuma Tut,24,0,3,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Vino Bianco,Otium,Otium,Tenuta Tenaglia,"Chardonnay, Semillion e Timorasso",s.a.,Tenuta Tenaglia,18,0,9,8-10°,8°,Bianchi e Rosè 8°
